来源系统,单据编号,单据日期,单据类型,交易类型,委托单位编码,委托单位,制单人编码,制单人,附件个数,影像张数,共享中心,共享服务类型,服务目录,任务属性,创建时间,入池时间,入组时间,任务类型,任务量系数,优先级,工作组,派单到人模式,派单到人规则,提取/派单时间,操作终端,处理人编码,处理人,处理时间,处理意见,处理意见标签化,作业状态,作业时长,修正作业时长,超期标记,超期时间,共享是否处理完成,共享处理次数,进入共享次数,页面审核时长,驳回类型,驳回模式,驳回接收环节,驳回接收人,驳出共享次数
费控服务,AP-2026-001179,2026-01-04,通用报销单,应付付款单（材料采购）,A02,示例集团·乙公司,MAK01,制单人01,,7,示例集团财务共享中心（本部）,财务共享,应付付款单（材料采购）,通用审批类,2026-02-15 11:50:08,2026-02-15 11:50:48,2026-02-15 11:52:47,FSSC审核岗,1,,应付成本组,自动派单,已派任务少（优先派）,2026-02-15 11:52:47,PC端,AUD07,审核员07,2026-02-15 11:54:47,同意,,审核通过,22分48秒,--,0,,是,1,1,298秒,,0,,,--
费控服务,AP-2026-001180,2026-03-28,通用报销单,应付付款单（差旅费）,A06,示例集团·己公司,MAK16,制单人16,,3,示例集团财务共享中心（本部）,财务共享,应付付款单（差旅费）,通用审批类,2026-01-03 10:37:47,2026-01-03 10:38:25,2026-01-03 10:40:04,FSSC审核岗,1,,应付成本组,自动派单,已派任务少（优先派）,2026-01-03 10:40:04,移动端,AUD04,审核员04,2026-01-03 12:29:04,同意,,审核通过,16分26秒,--,0,,是,1,1,101秒,,0,,,--
财务会计,AP-2026-001181,2026-04-12,付款单,其他专项付款单,A11,示例集团·子公司甲,MAK15,制单人15,,7,示例集团财务共享中心（本部）,财务共享,其他专项付款单,通用审批类,2026-02-03 12:29:29,2026-02-03 12:30:26,2026-02-03 12:30:30,FSSC审核岗,1,,应付成本组,自动派单,已派任务少（优先派）,2026-02-03 12:30:30,移动端,AUD01,审核员01,2026-02-03 15:28:30,同意,附件信息不一致,审核通过,8分5秒,--,0,,是,1,1,92秒,,0,,,1
财务会计,AP-2026-001182,2026-02-07,应付发票,应付付款单（材料采购）,A02,示例集团·乙公司,MAK13,制单人13,,1,示例集团财务共享中心（本部）,财务共享,应付付款单（材料采购）,通用审批类,2026-05-04 18:50:38,2026-05-04 18:51:25,2026-05-04 18:52:50,FSSC审核岗,1,,应付成本组,自动派单,已派任务少（优先派）,2026-05-04 18:52:50,PC端,AUD01,审核员01,2026-05-04 19:36:50,驳回,业务类型填写错误,审核驳回,34分36秒,--,0,,是,3,1,12秒,驳回,1,制单人,制单人13,3
财务会计,AP-2026-001183,2026-05-25,应付发票,通用报销单（费用报销）,A08,示例集团·辛公司,MAK10,制单人10,,7,示例集团财务共享中心（本部）,财务共享,通用报销单（费用报销）,通用审批类,2026-05-07 16:23:21,2026-05-07 16:23:57,2026-05-07 16:25:08,FSSC审核岗,1,,应付成本组,自动派单,已派任务少（优先派）,2026-05-07 16:25:08,PC端,AUD04,审核员04,2026-05-07 16:46:08,同意,,审核通过,31分10秒,--,0,,是,1,1,58秒,,0,,,--
财务会计,AP-2026-001184,2026-06-25,付款单,应付确认单（物料类）,A04,示例集团·丁公司,MAK09,制单人09,,6,示例集团财务共享中心（本部）,财务共享,应付确认单（物料类）,通用审批类,2026-04-08 15:34:48,2026-04-08 15:35:40,2026-04-08 15:37:10,FSSC审核岗,1,,应付成本组,自动派单,已派任务少（优先派）,2026-04-08 15:37:10,移动端,AUD05,审核员05,2026-04-08 18:12:10,同意,,审核通过,39分9秒,--,0,,是,1,1,270秒,,0,,,--
财务会计,AP-2026-001185,2026-01-17,付款单,其他专项付款单,A15,示例集团·子公司戊,MAK08,制单人08,,0,示例集团财务共享中心（本部）,财务共享,其他专项付款单,通用审批类,2026-05-10 08:42:06,2026-05-10 08:42:39,2026-05-10 08:42:57,FSSC审核岗,1,,应付成本组,自动派单,已派任务少（优先派）,2026-05-10 08:42:57,PC端,AUD02,审核员02,2026-05-10 09:26:57,同意,,审核通过,4分11秒,--,0,,是,1,1,292秒,,0,,,--
财务会计,AP-2026-001186,2026-04-27,通用报销单,应付付款单（材料采购）,A02,示例集团·乙公司,MAK05,制单人05,,2,示例集团财务共享中心（本部）,财务共享,应付付款单（材料采购）,通用审批类,2026-01-05 08:16:05,2026-01-05 08:16:23,2026-01-05 08:16:59,FSSC审核岗,1,,应付成本组,自动派单,已派任务少（优先派）,2026-01-05 08:16:59,PC端,AUD01,审核员01,2026-01-05 10:21:59,同意,,审核通过,34分47秒,--,0,,是,1,1,66秒,,0,,,--
费控服务,AP-2026-001187,2026-05-19,通用报销单,应付确认单（物料类）,A01,示例集团·甲公司,MAK16,制单人16,,3,示例集团财务共享中心（本部）,财务共享,应付确认单（物料类）,通用审批类,2026-06-23 08:43:08,2026-06-23 08:43:56,2026-06-23 08:45:17,FSSC审核岗,1,,应付成本组,自动派单,已派任务少（优先派）,2026-06-23 08:45:17,移动端,AUD07,审核员07,2026-06-23 11:54:17,驳回,附件不完整,审核驳回,4分17秒,--,0,,是,1,1,86秒,驳回,1,前端单位,示例集团·甲公司,1
财务会计,AP-2026-001188,2026-06-16,付款单,应付付款单（差旅费）,A02,示例集团·乙公司,MAK03,制单人03,,2,示例集团财务共享中心（本部）,财务共享,应付付款单（差旅费）,通用审批类,2026-06-05 19:56:06,2026-06-05 19:56:22,2026-06-05 19:57:10,FSSC审核岗,1,,应付成本组,自动派单,已派任务少（优先派）,2026-06-05 19:57:10,PC端,AUD06,审核员06,2026-06-05 23:01:10,同意,,审核通过,33分5秒,--,0,,是,1,1,223秒,,0,,,--
财务会计,AP-2026-001189,2026-05-07,应付发票,应付付款单（材料采购）,A03,示例集团·丙公司,MAK01,制单人01,,1,示例集团财务共享中心（本部）,财务共享,应付付款单（材料采购）,通用审批类,2026-02-02 13:45:50,2026-02-02 13:46:29,2026-02-02 13:46:59,FSSC审核岗,1,,应付成本组,自动派单,已派任务少（优先派）,2026-02-02 13:46:59,PC端,AUD02,审核员02,2026-02-02 15:39:59,同意,,审核通过,40分34秒,--,0,,是,1,1,124秒,,0,,,--
财务会计,AP-2026-001190,2026-03-06,应付发票,其他专项付款单,A01,示例集团·甲公司,MAK02,制单人02,,2,示例集团财务共享中心（本部）,财务共享,其他专项付款单,通用审批类,2026-06-22 18:47:04,2026-06-22 18:47:35,2026-06-22 18:48:14,FSSC审核岗,1,,应付成本组,自动派单,已派任务少（优先派）,2026-06-22 18:48:14,PC端,AUD01,审核员01,2026-06-22 20:25:14,同意,业务类型填写错误,审核通过,38分47秒,--,0,,是,1,1,121秒,,0,,,1
财务会计,AP-2026-001191,2026-06-27,付款单,通用报销单（费用报销）,A01,示例集团·甲公司,MAK13,制单人13,,3,示例集团财务共享中心（本部）,财务共享,通用报销单（费用报销）,通用审批类,2026-03-09 09:39:24,2026-03-09 09:39:50,2026-03-09 09:40:11,FSSC审核岗,1,,应付成本组,自动派单,已派任务少（优先派）,2026-03-09 09:40:11,移动端,AUD02,审核员02,2026-03-09 10:19:11,同意,,审核通过,8分26秒,--,0,,是,1,1,259秒,,0,,,--
费控服务,AP-2026-001192,2026-03-12,付款单,应付付款单（差旅费）,A01,示例集团·甲公司,MAK01,制单人01,,2,示例集团财务共享中心（本部）,财务共享,应付付款单（差旅费）,通用审批类,2026-01-13 15:48:56,2026-01-13 15:49:54,2026-01-13 15:50:00,FSSC审核岗,1,,应付成本组,自动派单,已派任务少（优先派）,2026-01-13 15:50:00,PC端,AUD03,审核员03,2026-01-13 17:29:00,同意,,审核通过,6分36秒,--,0,,是,1,1,272秒,,0,,,--
财务会计,AP-2026-001193,2026-01-19,应付发票,通用报销单（费用报销）,A11,示例集团·子公司甲,MAK06,制单人06,,4,示例集团财务共享中心（本部）,财务共享,通用报销单（费用报销）,通用审批类,2026-01-26 12:19:41,2026-01-26 12:19:44,2026-01-26 12:20:41,FSSC审核岗,1,,应付成本组,自动派单,已派任务少（优先派）,2026-01-26 12:20:41,移动端,AUD01,审核员01,2026-01-26 14:11:41,同意,,审核通过,39分49秒,--,0,,是,1,1,106秒,,0,,,--
财务会计,AP-2026-001194,2026-03-10,通用报销单,应付付款单（材料采购）,A09,示例集团·壬公司,MAK10,制单人10,,1,示例集团财务共享中心（本部）,财务共享,应付付款单（材料采购）,通用审批类,2026-04-06 15:12:08,2026-04-06 15:13:03,2026-04-06 15:13:25,FSSC审核岗,1,,应付成本组,自动派单,已派任务少（优先派）,2026-04-06 15:13:25,移动端,AUD03,审核员03,2026-04-06 16:52:25,同意,,审核通过,6分18秒,--,0,,是,1,1,85秒,,0,,,--
财务会计,AP-2026-001195,2026-03-27,通用报销单,应付付款单（差旅费）,A02,示例集团·乙公司,MAK13,制单人13,,0,示例集团财务共享中心（本部）,财务共享,应付付款单（差旅费）,通用审批类,2026-03-18 19:20:17,2026-03-18 19:21:01,2026-03-18 19:21:21,FSSC审核岗,1,,应付成本组,自动派单,已派任务少（优先派）,2026-03-18 19:21:21,PC端,AUD05,审核员05,2026-03-18 19:47:21,同意,,审核通过,35分47秒,--,0,,是,1,1,262秒,,0,,,--
费控服务,AP-2026-001196,2026-05-04,通用报销单,通用报销单（费用报销）,A16,示例集团·子公司己,MAK10,制单人10,,6,示例集团财务共享中心（本部）,财务共享,通用报销单（费用报销）,通用审批类,2026-05-14 10:40:15,2026-05-14 10:41:02,2026-05-14 10:41:42,FSSC审核岗,1,,应付成本组,自动派单,已派任务少（优先派）,2026-05-14 10:41:42,PC端,AUD05,审核员05,2026-05-14 13:44:42,驳回,附件信息不一致,审核驳回,17分14秒,22分51秒,0,,是,3,1,132秒,驳回,1,制单人,制单人10,3
费控服务,AP-2026-001197,2026-03-10,付款单,应付付款单（材料采购）,A14,示例集团·子公司丁,MAK12,制单人12,,0,示例集团财务共享中心（本部）,财务共享,应付付款单（材料采购）,通用审批类,2026-04-12 18:03:23,2026-04-12 18:03:58,2026-04-12 18:04:29,FSSC审核岗,1,,应付成本组,自动派单,已派任务少（优先派）,2026-04-12 18:04:29,PC端,AUD07,审核员07,2026-04-12 19:02:29,同意,,审核通过,16分4秒,--,0,,是,1,1,50秒,,0,,,--
费控服务,AP-2026-001198,2026-03-16,付款单,应付确认单（物料类）,A08,示例集团·辛公司,MAK06,制单人06,,4,示例集团财务共享中心（本部）,财务共享,应付确认单（物料类）,通用审批类,2026-04-24 12:23:55,2026-04-24 12:24:25,2026-04-24 12:26:05,FSSC审核岗,1,,应付成本组,自动派单,已派任务少（优先派）,2026-04-24 12:26:05,PC端,AUD05,审核员05,2026-04-24 15:33:05,同意,,审核通过,32分21秒,--,0,,是,1,1,242秒,,0,,,--
财务会计,AP-2026-001199,2026-01-09,应付发票,其他专项付款单,A04,示例集团·丁公司,MAK12,制单人12,,4,示例集团财务共享中心（本部）,财务共享,其他专项付款单,通用审批类,2026-03-21 13:12:23,2026-03-21 13:12:39,2026-03-21 13:13:35,FSSC审核岗,1,,应付成本组,自动派单,已派任务少（优先派）,2026-03-21 13:13:35,PC端,AUD06,审核员06,2026-03-21 14:48:35,同意,,审核通过,26分24秒,--,0,,是,1,1,267秒,,0,,,--
费控服务,AP-2026-001200,2026-06-09,应付发票,其他专项付款单,A04,示例集团·丁公司,MAK13,制单人13,,4,示例集团财务共享中心（本部）,财务共享,其他专项付款单,通用审批类,2026-03-11 12:23:01,2026-03-11 12:23:36,2026-03-11 12:25:06,FSSC审核岗,1,,应付成本组,自动派单,已派任务少（优先派）,2026-03-11 12:25:06,PC端,AUD04,审核员04,2026-03-11 12:28:06,同意,,审核通过,33分5秒,--,0,,是,1,1,184秒,,0,,,--
财务会计,AP-2026-001201,2026-02-26,通用报销单,应付付款单（材料采购）,A02,示例集团·乙公司,MAK07,制单人07,,2,示例集团财务共享中心（本部）,财务共享,应付付款单（材料采购）,通用审批类,2026-03-13 12:54:28,2026-03-13 12:54:40,2026-03-13 12:54:55,FSSC审核岗,1,,应付成本组,自动派单,已派任务少（优先派）,2026-03-13 12:54:55,PC端,AUD01,审核员01,2026-03-13 13:56:55,驳回,附件不完整,审核驳回,16分23秒,38分7秒,0,,是,2,1,146秒,驳回,1,前端单位,示例集团·乙公司,2
费控服务,AP-2026-001202,2026-02-02,通用报销单,应付付款单（材料采购）,A02,示例集团·乙公司,MAK02,制单人02,,4,示例集团财务共享中心（本部）,财务共享,应付付款单（材料采购）,通用审批类,2026-05-18 17:12:15,2026-05-18 17:13:06,2026-05-18 17:15:01,FSSC审核岗,1,,应付成本组,自动派单,已派任务少（优先派）,2026-05-18 17:15:01,PC端,AUD06,审核员06,2026-05-18 17:56:01,同意,,审核通过,21分56秒,--,0,,是,1,1,168秒,,0,,,--
费控服务,AP-2026-001203,2026-06-14,应付发票,应付确认单（物料类）,A02,示例集团·乙公司,MAK13,制单人13,,1,示例集团财务共享中心（本部）,财务共享,应付确认单（物料类）,通用审批类,2026-03-15 11:06:58,2026-03-15 11:07:42,2026-03-15 11:09:38,FSSC审核岗,1,,应付成本组,自动派单,已派任务少（优先派）,2026-03-15 11:09:38,PC端,AUD04,审核员04,2026-03-15 11:14:38,驳回,业务类型填写错误,审核驳回,32分33秒,--,0,,是,3,1,95秒,驳回,1,前端单位,示例集团·乙公司,3
费控服务,AP-2026-001204,2026-01-18,应付发票,应付确认单（物料类）,A02,示例集团·乙公司,MAK02,制单人02,,6,示例集团财务共享中心（本部）,财务共享,应付确认单（物料类）,通用审批类,2026-01-18 12:20:10,2026-01-18 12:20:24,2026-01-18 12:21:11,FSSC审核岗,1,,应付成本组,自动派单,已派任务少（优先派）,2026-01-18 12:21:11,移动端,AUD03,审核员03,2026-01-18 15:10:11,同意,,审核通过,33分51秒,--,0,,是,1,1,245秒,,0,,,--
财务会计,AP-2026-001205,2026-01-22,通用报销单,其他专项付款单,A03,示例集团·丙公司,MAK14,制单人14,,6,示例集团财务共享中心（本部）,财务共享,其他专项付款单,通用审批类,2026-02-16 11:41:10,2026-02-16 11:42:06,2026-02-16 11:43:29,FSSC审核岗,1,,应付成本组,自动派单,已派任务少（优先派）,2026-02-16 11:43:29,移动端,AUD05,审核员05,2026-02-16 14:37:29,驳回,特殊原因,审核驳回,22分56秒,10分14秒,0,,是,3,1,237秒,驳回,1,制单人,制单人14,3
财务会计,AP-2026-001206,2026-01-22,付款单,应付确认单（物料类）,A05,示例集团·戊公司,MAK03,制单人03,,5,示例集团财务共享中心（本部）,财务共享,应付确认单（物料类）,通用审批类,2026-02-07 15:00:07,2026-02-07 15:00:25,2026-02-07 15:02:22,FSSC审核岗,1,,应付成本组,自动派单,已派任务少（优先派）,2026-02-07 15:02:22,PC端,AUD04,审核员04,2026-02-07 15:18:22,同意,附件不完整,审核通过,10分52秒,35分4秒,0,,是,1,1,22秒,,0,,,1
财务会计,AP-2026-001207,2026-02-22,通用报销单,应付付款单（差旅费）,A15,示例集团·子公司戊,MAK06,制单人06,,5,示例集团财务共享中心（本部）,财务共享,应付付款单（差旅费）,通用审批类,2026-04-05 15:54:43,2026-04-05 15:54:55,2026-04-05 15:56:29,FSSC审核岗,1,,应付成本组,自动派单,已派任务少（优先派）,2026-04-05 15:56:29,PC端,AUD05,审核员05,2026-04-05 16:29:29,驳回,业务类型填写错误,审核驳回,30分42秒,--,0,,是,1,1,109秒,驳回,1,前端单位,示例集团·子公司戊,1
财务会计,AP-2026-001208,2026-05-19,付款单,应付付款单（材料采购）,A01,示例集团·甲公司,MAK01,制单人01,,2,示例集团财务共享中心（本部）,财务共享,应付付款单（材料采购）,通用审批类,2026-02-25 11:48:25,2026-02-25 11:48:59,2026-02-25 11:50:43,FSSC审核岗,1,,应付成本组,自动派单,已派任务少（优先派）,2026-02-25 11:50:43,移动端,AUD03,审核员03,2026-02-25 14:31:43,同意,,审核通过,3分12秒,--,0,,是,1,1,72秒,,0,,,--
费控服务,AP-2026-001209,2026-02-05,应付发票,通用报销单（费用报销）,A02,示例集团·乙公司,MAK10,制单人10,,3,示例集团财务共享中心（本部）,财务共享,通用报销单（费用报销）,通用审批类,2026-03-06 19:01:38,2026-03-06 19:02:20,2026-03-06 19:02:44,FSSC审核岗,1,,应付成本组,自动派单,已派任务少（优先派）,2026-03-06 19:02:44,移动端,AUD03,审核员03,2026-03-06 21:30:44,同意,,审核通过,23分8秒,--,0,,是,1,1,201秒,,0,,,--
费控服务,AP-2026-001210,2026-04-22,应付发票,应付确认单（物料类）,A18,示例集团·子公司辛,MAK06,制单人06,,3,示例集团财务共享中心（本部）,财务共享,应付确认单（物料类）,通用审批类,2026-06-08 10:10:09,2026-06-08 10:10:50,2026-06-08 10:12:19,FSSC审核岗,1,,应付成本组,自动派单,已派任务少（优先派）,2026-06-08 10:12:19,PC端,AUD07,审核员07,2026-06-08 13:30:19,同意,,审核通过,34分38秒,--,0,,是,1,1,99秒,,0,,,--
财务会计,AP-2026-001211,2026-06-23,通用报销单,其他专项付款单,A01,示例集团·甲公司,MAK06,制单人06,,0,示例集团财务共享中心（本部）,财务共享,其他专项付款单,通用审批类,2026-06-26 13:14:08,2026-06-26 13:14:23,2026-06-26 13:15:18,FSSC审核岗,1,,应付成本组,自动派单,已派任务少（优先派）,2026-06-26 13:15:18,移动端,AUD04,审核员04,2026-06-26 15:05:18,驳回,附件信息不一致,审核驳回,31分25秒,4分35秒,0,,是,2,1,245秒,驳回,1,制单人,制单人06,2
财务会计,AP-2026-001212,2026-06-26,付款单,应付确认单（物料类）,A01,示例集团·甲公司,MAK03,制单人03,,1,示例集团财务共享中心（本部）,财务共享,应付确认单（物料类）,通用审批类,2026-06-26 10:53:54,2026-06-26 10:54:07,2026-06-26 10:54:56,FSSC审核岗,1,,应付成本组,自动派单,已派任务少（优先派）,2026-06-26 10:54:56,移动端,AUD05,审核员05,2026-06-26 11:04:56,驳回,业务类型填写错误,审核驳回,10分25秒,36分14秒,0,,是,2,1,295秒,驳回,1,制单人,制单人03,2
财务会计,AP-2026-001213,2026-04-03,付款单,其他专项付款单,A08,示例集团·辛公司,MAK11,制单人11,,6,示例集团财务共享中心（本部）,财务共享,其他专项付款单,通用审批类,2026-06-27 18:27:59,2026-06-27 18:28:45,2026-06-27 18:30:23,FSSC审核岗,1,,应付成本组,自动派单,已派任务少（优先派）,2026-06-27 18:30:23,PC端,AUD02,审核员02,2026-06-27 19:38:23,同意,,审核通过,31分12秒,--,0,,是,1,1,176秒,,0,,,--
财务会计,AP-2026-001214,2026-03-07,付款单,应付付款单（差旅费）,A04,示例集团·丁公司,MAK05,制单人05,,2,示例集团财务共享中心（本部）,财务共享,应付付款单（差旅费）,通用审批类,2026-01-06 19:32:01,2026-01-06 19:32:42,2026-01-06 19:32:56,FSSC审核岗,1,,应付成本组,自动派单,已派任务少（优先派）,2026-01-06 19:32:56,移动端,AUD02,审核员02,2026-01-06 22:46:56,同意,,审核通过,23分35秒,--,0,,是,1,1,299秒,,0,,,--
财务会计,AP-2026-001215,2026-06-21,通用报销单,应付确认单（物料类）,A02,示例集团·乙公司,MAK14,制单人14,,5,示例集团财务共享中心（本部）,财务共享,应付确认单（物料类）,通用审批类,2026-03-12 14:03:24,2026-03-12 14:03:36,2026-03-12 14:05:22,FSSC审核岗,1,,应付成本组,自动派单,已派任务少（优先派）,2026-03-12 14:05:22,PC端,AUD07,审核员07,2026-03-12 16:44:22,同意,,审核通过,4分57秒,--,0,,是,1,1,209秒,,0,,,--
费控服务,AP-2026-001216,2026-06-16,应付发票,应付付款单（材料采购）,A02,示例集团·乙公司,MAK15,制单人15,,1,示例集团财务共享中心（本部）,财务共享,应付付款单（材料采购）,通用审批类,2026-03-28 18:07:34,2026-03-28 18:07:38,2026-03-28 18:08:13,FSSC审核岗,1,,应付成本组,自动派单,已派任务少（优先派）,2026-03-28 18:08:13,移动端,AUD06,审核员06,2026-03-28 19:50:13,同意,,审核通过,16分0秒,--,0,,是,1,1,258秒,,0,,,--
财务会计,AP-2026-001217,2026-06-10,应付发票,通用报销单（费用报销）,A08,示例集团·辛公司,MAK04,制单人04,,6,示例集团财务共享中心（本部）,财务共享,通用报销单（费用报销）,通用审批类,2026-03-18 13:09:00,2026-03-18 13:09:57,2026-03-18 13:11:22,FSSC审核岗,1,,应付成本组,自动派单,已派任务少（优先派）,2026-03-18 13:11:22,PC端,AUD04,审核员04,2026-03-18 13:30:22,同意,,审核通过,4分32秒,--,0,,是,1,1,156秒,,0,,,--
财务会计,AP-2026-001218,2026-01-16,应付发票,应付付款单（材料采购）,A08,示例集团·辛公司,MAK04,制单人04,,1,示例集团财务共享中心（本部）,财务共享,应付付款单（材料采购）,通用审批类,2026-01-03 13:46:17,2026-01-03 13:47:08,2026-01-03 13:48:09,FSSC审核岗,1,,应付成本组,自动派单,已派任务少（优先派）,2026-01-03 13:48:09,PC端,AUD06,审核员06,2026-01-03 14:00:09,同意,,审核通过,12分59秒,--,0,,是,1,1,44秒,,0,,,--
费控服务,AP-2026-001219,2026-03-03,应付发票,应付付款单（服务费）,A04,示例集团·丁公司,MAK07,制单人07,,6,示例集团财务共享中心（本部）,财务共享,应付付款单（服务费）,通用审批类,2026-01-22 13:21:27,2026-01-22 13:21:45,2026-01-22 13:21:48,FSSC审核岗,1,,应付成本组,自动派单,已派任务少（优先派）,2026-01-22 13:21:48,移动端,AUD06,审核员06,2026-01-22 15:47:48,同意,,审核通过,38分13秒,--,0,,是,1,1,174秒,,0,,,--
财务会计,AP-2026-001220,2026-06-02,应付发票,应付确认单（物料类）,A05,示例集团·戊公司,MAK08,制单人08,,7,示例集团财务共享中心（本部）,财务共享,应付确认单（物料类）,通用审批类,2026-04-26 10:01:16,2026-04-26 10:01:27,2026-04-26 10:02:23,FSSC审核岗,1,,应付成本组,自动派单,已派任务少（优先派）,2026-04-26 10:02:23,移动端,AUD06,审核员06,2026-04-26 10:43:23,同意,,审核通过,7分8秒,--,0,,是,1,1,55秒,,0,,,--
财务会计,AP-2026-001221,2026-02-08,应付发票,应付确认单（物料类）,A02,示例集团·乙公司,MAK02,制单人02,,8,示例集团财务共享中心（本部）,财务共享,应付确认单（物料类）,通用审批类,2026-02-20 14:29:34,2026-02-20 14:30:11,2026-02-20 14:31:34,FSSC审核岗,1,,应付成本组,自动派单,已派任务少（优先派）,2026-02-20 14:31:34,PC端,AUD02,审核员02,2026-02-20 16:28:34,同意,,审核通过,31分13秒,--,0,,是,1,1,47秒,,0,,,--
费控服务,AP-2026-001222,2026-02-03,应付发票,其他专项付款单,A02,示例集团·乙公司,MAK08,制单人08,,8,示例集团财务共享中心（本部）,财务共享,其他专项付款单,通用审批类,2026-05-06 10:28:41,2026-05-06 10:29:06,2026-05-06 10:30:33,FSSC审核岗,1,,应付成本组,自动派单,已派任务少（优先派）,2026-05-06 10:30:33,移动端,AUD04,审核员04,2026-05-06 13:46:33,驳回,附件信息不一致,审核驳回,35分39秒,35分26秒,0,,是,2,1,190秒,驳回,1,前端单位,示例集团·乙公司,2
财务会计,AP-2026-001223,2026-04-21,应付发票,应付付款单（材料采购）,A02,示例集团·乙公司,MAK11,制单人11,,4,示例集团财务共享中心（本部）,财务共享,应付付款单（材料采购）,通用审批类,2026-04-23 19:19:12,2026-04-23 19:19:20,2026-04-23 19:20:38,FSSC审核岗,1,,应付成本组,自动派单,已派任务少（优先派）,2026-04-23 19:20:38,PC端,AUD02,审核员02,2026-04-23 19:44:38,同意,,审核通过,13分1秒,--,0,,是,1,1,272秒,,0,,,--
财务会计,AP-2026-001224,2026-05-06,通用报销单,应付付款单（材料采购）,A08,示例集团·辛公司,MAK13,制单人13,,6,示例集团财务共享中心（本部）,财务共享,应付付款单（材料采购）,通用审批类,2026-06-02 10:07:37,2026-06-02 10:07:42,2026-06-02 10:08:28,FSSC审核岗,1,,应付成本组,自动派单,已派任务少（优先派）,2026-06-02 10:08:28,移动端,AUD05,审核员05,2026-06-02 10:15:28,同意,,审核通过,18分18秒,--,0,,是,1,1,298秒,,0,,,--
费控服务,AP-2026-001225,2026-01-01,付款单,其他专项付款单,A07,示例集团·庚公司,MAK13,制单人13,,7,示例集团财务共享中心（本部）,财务共享,其他专项付款单,通用审批类,2026-04-05 14:35:29,2026-04-05 14:35:55,2026-04-05 14:36:35,FSSC审核岗,1,,应付成本组,自动派单,已派任务少（优先派）,2026-04-05 14:36:35,PC端,AUD02,审核员02,2026-04-05 15:56:35,同意,,审核通过,26分19秒,--,0,,是,1,1,239秒,,0,,,--
财务会计,AP-2026-001226,2026-01-03,应付发票,应付确认单（物料类）,A06,示例集团·己公司,MAK15,制单人15,,3,示例集团财务共享中心（本部）,财务共享,应付确认单（物料类）,通用审批类,2026-01-13 13:27:44,2026-01-13 13:27:47,2026-01-13 13:28:20,FSSC审核岗,1,,应付成本组,自动派单,已派任务少（优先派）,2026-01-13 13:28:20,PC端,AUD07,审核员07,2026-01-13 14:53:20,驳回,附件信息不一致,审核驳回,23分20秒,31分12秒,0,,是,2,1,29秒,驳回,1,前端单位,示例集团·己公司,2
财务会计,AP-2026-001227,2026-05-14,应付发票,应付付款单（差旅费）,A06,示例集团·己公司,MAK07,制单人07,,6,示例集团财务共享中心（本部）,财务共享,应付付款单（差旅费）,通用审批类,2026-06-15 09:07:56,2026-06-15 09:08:37,2026-06-15 09:09:50,FSSC审核岗,1,,应付成本组,自动派单,已派任务少（优先派）,2026-06-15 09:09:50,移动端,AUD02,审核员02,2026-06-15 11:56:50,同意,,审核通过,15分20秒,--,0,,是,1,1,115秒,,0,,,--
财务会计,AP-2026-001228,2026-01-01,付款单,应付付款单（服务费）,A01,示例集团·甲公司,MAK06,制单人06,,1,示例集团财务共享中心（本部）,财务共享,应付付款单（服务费）,通用审批类,2026-01-04 10:33:10,2026-01-04 10:33:40,2026-01-04 10:34:33,FSSC审核岗,1,,应付成本组,自动派单,已派任务少（优先派）,2026-01-04 10:34:33,移动端,AUD04,审核员04,2026-01-04 13:27:33,同意,,审核通过,21分39秒,--,0,,是,1,1,158秒,,0,,,--
费控服务,AP-2026-001229,2026-01-19,付款单,应付付款单（服务费）,A15,示例集团·子公司戊,MAK10,制单人10,,4,示例集团财务共享中心（本部）,财务共享,应付付款单（服务费）,通用审批类,2026-03-13 13:59:18,2026-03-13 13:59:45,2026-03-13 14:01:10,FSSC审核岗,1,,应付成本组,自动派单,已派任务少（优先派）,2026-03-13 14:01:10,移动端,AUD04,审核员04,2026-03-13 15:53:10,同意,,审核通过,19分47秒,--,0,,是,1,1,123秒,,0,,,--
财务会计,AP-2026-001230,2026-05-10,应付发票,其他专项付款单,A03,示例集团·丙公司,MAK05,制单人05,,4,示例集团财务共享中心（本部）,财务共享,其他专项付款单,通用审批类,2026-06-19 17:37:15,2026-06-19 17:38:04,2026-06-19 17:39:22,FSSC审核岗,1,,应付成本组,自动派单,已派任务少（优先派）,2026-06-19 17:39:22,移动端,AUD01,审核员01,2026-06-19 18:42:22,同意,,审核通过,18分37秒,--,0,,是,1,1,240秒,,0,,,--
费控服务,AP-2026-001231,2026-01-14,通用报销单,应付付款单（服务费）,A03,示例集团·丙公司,MAK10,制单人10,,5,示例集团财务共享中心（本部）,财务共享,应付付款单（服务费）,通用审批类,2026-03-25 18:53:42,2026-03-25 18:54:27,2026-03-25 18:55:39,FSSC审核岗,1,,应付成本组,自动派单,已派任务少（优先派）,2026-03-25 18:55:39,移动端,AUD02,审核员02,2026-03-25 19:39:39,同意,附件不完整,审核通过,33分26秒,31分46秒,0,,是,1,1,121秒,,0,,,1
